ID,  Milk,ChdBby,Vegges, Cerel, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
 1,     8,     5,     8,     7,     0,     5,     3,     2,     8,     2,     2,     5,     1,     4,     4,     6,     3,     1,     2,     4
 2,    10,     9,     6,     8,     9,     5,     6,     4,     6,     0,     1,     3,     5,     3,     5,     5,     1,     1,     5,     4
 3,     4,     3,     7,     1,     0,     5,     3,     1,     8,     1,     0,     7,     5,     1,     3,     4,     2,     3,     2,     0
 4,     3,     4,    10,     5,     0,     5,     4,     1,     9,     1,     1,     8,     2,     1,     1,     7,     3,     5,     0,     2
 5,     7,     6,     7,     4,     0,     5,     2,     2,     6,     1,     1,     6,     3,     3,     3,     5,     6,     2,     0,     1
 6,     3,     2,     5,    10,     5,     5,     9,     4,     1,    10,     9,     5,     7,     5,     6,     4,     8,     1,     3,     5
 7,    10,     6,     7,     8,     8,     6,     9,     5,     4,     2,     4,     7,     6,     0,     2,     6,     1,     4,     6,     4
 8,    10,    10,     7,     8,     5,    10,     6,     6,     6,     1,     0,     5,     3,     2,     3,     4,     1,     4,     4,     2
 9,     9,     8,     7,    10,     8,     6,     9,     4,     8,     2,     0,     8,     3,     3,     3,     7,     0,     0,     7,     0
10,     6,     5,     6,     6,     8,     7,     4,     5,     5,     9,     0,     5,     5,     8,     6,     5,     8,     4,     5,     0
11,     5,     5,     4,     4,     5,     6,     4,     3,     6,     9,     1,     8,     6,     9,     3,     2,     6,     2,     4,     3
12,     0,     3,     2,     9,     6,     3,     9,     7,     1,    10,     8,    10,     5,     3,    10,     7,     6,     3,     5,     3
13,     2,     6,     8,     4,     1,     6,     5,     3,     9,     2,     3,     4,     3,     3,     3,     4,     4,     6,     0,     4
14,     5,     4,     5,     7,     8,     4,     8,     5,     7,     9,     4,     7,     4,     5,     4,     2,     5,     1,     4,     2
15,     9,     8,     9,     8,     7,     7,     7,     3,     8,     1,     0,     7,     5,     0,     2,     2,     0,     1,     6,     1
16,     8,     4,     8,     7,     6,     7,     7,     5,     6,     8,     0,     5,     5,     5,     3,     6,     9,     4,     4,     3
17,    10,     7,     8,     8,     8,     8,     7,     5,     8,     4,     0,     4,     2,     5,     4,     5,     2,     3,     7,     1
18,    10,     8,     7,     6,     8,     5,     8,     3,     9,     2,     0,     6,     5,     3,     1,     3,     1,     5,     4,     3
19,     0,     3,     0,     9,     4,     6,     9,     7,     2,     8,     6,     6,     7,     5,     7,     8,     7,     3,     7,     7
20,     2,     2,     2,     7,     2,     5,     8,     7,     1,     6,    10,     3,     8,     4,     8,     6,     5,     5,     7,     3
